time,06-navstatus [adim],05-course [deg],04-speed [knots],03-mslhr [m],02-ellihr [m],01-lonhr [deg],00-lathr [deg]
2025-09-23 23:47:51.000,1.0,109.926,1.494,-55.1572,4668539672523.583,-5.51571968,35.880381033
2025-09-23 23:47:51.500,1.0,109.973,1.485,-55.1572,4882999866763.735,-5.515715671,35.880379855
2025-09-23 23:47:52.000,1.0,110.021,1.475,-55.1571,5098856692689.25,-5.515711688,35.880378682
2025-09-23 23:47:52.500,1.0,110.071,1.466,-55.1571,5315552460853.937,-5.515707731,35.880377514
2025-09-23 23:47:53.000,1.0,110.124,1.456,-55.157,5532490811983.953,-5.515703803,35.880376351
2025-09-23 23:47:53.500,1.0,110.178,1.445,-55.157,5749035075949.309,-5.515699903,35.880375194
2025-09-23 23:47:54.000,1.0,110.234,1.434,-55.157,5964506629048.627,-5.515696033,35.880374041
2025-09-23 23:47:54.500,1.0,110.293,1.423,-55.1569,6178183254441.493,-5.515692193,35.880372894
2025-09-23 23:47:55.000,1.0,110.354,1.412,-55.1569,6389297510880.888,-5.515688385,35.880371753
2025-09-23 23:47:55.500,1.0,110.417,1.4,-55.1568,6597035115228.744,-5.515684609,35.880370618
2025-09-23 23:47:56.000,1.0,110.483,1.388,-55.1568,6800533344580.568,-5.515680866,35.88036949
2025-09-23 23:47:56.500,1.0,110.551,1.376,-55.1568,6998879464180.223,-5.515677157,35.880368367
2025-09-23 23:47:57.000,1.0,110.622,1.363,-55.1567,7191109187673.193,-5.515673483,35.880367251
2025-09-23 23:47:57.500,1.0,110.696,1.35,-55.1567,7376205176625.8125,-5.515669845,35.880366142
2025-09-23 23:47:58.000,1.0,110.772,1.337,-55.1567,7553095586628.692,-5.515666243,35.880365039
2025-09-23 23:47:58.500,1.0,110.85,1.324,-55.1566,7720652667704.744,-5.515662678,35.880363944
2025-09-23 23:47:59.000,1.0,110.932,1.31,-55.1566,7877691427155.339,-5.515659152,35.880362855
2025-09-23 23:47:59.500,1.0,111.015,1.296,-55.1566,8022968363401.845,-5.515655664,35.880361774
2025-09-23 23:48:00.000,1.0,111.1,1.282,-55.1565,8155180279813.581,-5.515652215,35.880360701
2025-09-23 23:48:00.500,1.0,111.188,1.268,-55.1565,8272963187956.691,-5.515648806,35.880359635
2025-09-23 23:48:01.000,1.0,111.277,1.253,-55.1565,8374891310150.749,-5.515645438,35.880358577
2025-09-23 23:48:01.500,1.0,111.368,1.238,-55.1564,8459476191680.474,-5.51564211,35.880357527
2025-09-23 23:48:02.000,1.0,111.46,1.224,-55.1564,8525165933478.275,-5.515638824,35.880356486
2025-09-23 23:48:02.500,1.0,111.554,1.209,-55.1564,8570344556567.952,-5.515635579,35.880355452
2025-09-23 23:48:03.000,1.0,111.648,1.194,-55.1563,8593444655519.096,-5.515632376,35.880354427
2025-09-23 23:48:03.500,1.0,111.742,1.179,-55.1563,8593399643696.275,-5.515629215,35.88035341
2025-09-23 23:48:04.000,1.0,111.837,1.164,-55.1563,8570209309517.857,-5.515626096,35.880352402
2025-09-23 23:48:04.500,1.0,111.931,1.149,-55.1562,8524939816798.143,-5.515623019,35.880351403
2025-09-23 23:48:05.000,1.0,112.025,1.134,-55.1562,8459158149174.458,-5.515619984,35.880350413
2025-09-23 23:48:05.500,1.0,112.118,1.119,-55.1562,8374479865548.649,-5.515616991,35.880349432
